User_ID,Revenue_2024,Revenue_2023
1,410,332
2,467,476
3,409,136
4,179,132
5,441,296
6,176,25
7,470,75
8,188,139
9,68,476
10,207,144
11,377,91
12,103,401
13,107,70
14,210,72
15,83,317
16,407,224
17,398,89
18,227,273
19,94,308
20,235,396
21,231,32
22,341,393
23,456,78
24,124,174
25,286,175
26,483,448
27,187,358
28,493,92
29,120,246
30,484,136
31,404,130
32,327,384
33,272,76
34,181,46
35,371,326
36,221,376
37,201,360
38,44,76
39,324,288
40,292,233
41,396,260
42,25,148
43,496,435
44,372,251
45,245,23
46,176,255
47,397,62
48,470,385
49,34,179
50,369,265
51,298,400
52,443,248
53,316,440
54,279,456
55,454,141
56,341,28
57,132,369
58,262,306
59,316,169
60,348,225
61,332,208
62,272,265
63,443,407
64,276,131
65,176,302
66,92,474
67,344,407
68,228,67
69,498,299
70,95,391
71,51,371
72,209,363
73,164,435
74,61,136
75,500,301
76,427,344
77,193,35
78,59,321
79,25,358
80,80,34
81,158,213
82,312,147
83,91,419
84,183,145
85,217,134
86,442,467
87,148,448
88,385,87
89,229,236
90,495,286
91,85,256
92,379,463
93,435,181
94,366,274
95,487,67
96,341,377
97,342,81
98,494,372
99,259,385
100,488,464
101,388,129
102,359,207
103,165,278
104,415,93
105,355,255
106,327,333
107,458,500
108,112,77
109,430,155
110,216,291
111,25,368
112,226,141
113,397,489
114,248,336
115,159,171
116,288,342
117,129,48
118,175,479
119,302,161
120,264,168
121,118,193
122,248,339
123,241,77
124,303,246
125,410,401
126,141,75
127,408,378
128,111,362
129,199,256
130,220,411
131,429,191
132,336,38
133,149,293
134,422,303
135,365,195
136,408,481
137,41,237
138,245,467
139,405,156
140,141,360
141,201,213
142,364,278
143,150,450
144,56,206
145,90,468
146,79,40
147,230,471
148,475,197
149,31,353
150,65,301
151,105,338
152,444,262
153,54,469
154,436,335
155,111,359
156,139,87
157,166,374
158,335,122
159,373,128
160,285,465
161,264,63
162,95,302
163,218,310
164,380,339
165,232,152
166,62,62
167,323,404
168,287,148
169,100,133
170,318,271
171,363,127
172,143,482
173,231,154
174,365,95
175,25,485
176,42,256
177,473,30
178,281,315
179,449,217
180,422,493
181,373,222
182,475,227
183,183,239
184,358,280
185,211,343
186,36,388
187,328,89
188,472,185
189,146,476
190,282,367
191,399,22
192,371,170
193,301,124
194,248,236
195,208,119
196,29,426
197,330,461
198,493,418
199,117,299
200,40,139
201,315,391
202,78,109
203,488,294
204,191,396
205,256,489
206,174,443
207,458,244
208,468,77
209,246,356
210,477,30
211,475,325
212,490,93
213,491,111
214,198,439
215,445,497
216,404,394
217,489,384
218,96,332
219,394,360
220,437,127
221,120,296
222,92,298
223,30,466
224,356,486
225,476,273
226,438,26
227,139,200
228,445,86
229,495,176
230,426,202
231,302,409
232,403,233
233,447,368
234,482,269
235,370,341
236,56,239
237,53,465
238,387,354
239,46,365
240,25,492
241,398,136
242,68,123
243,133,86
244,158,421
245,500,321
246,39,52
247,454,151
248,216,63
249,444,487
250,188,286
251,208,150
252,157,148
253,37,476
254,51,51
255,68,435
256,82,234
257,231,379
258,492,305
259,356,439
260,388,283
261,447,132
262,439,290
263,172,215
264,467,192
265,457,32
266,178,388
267,387,167
268,489,446
269,103,204
270,500,60
271,86,74
272,306,426
273,20,60
274,409,288
275,195,377
276,427,439
277,423,159
278,268,129
279,397,50
280,419,56
281,292,425
282,254,372
283,271,411
284,406,104
285,21,338
286,145,213
287,78,310
288,198,147
289,173,340
290,385,474
291,478,171
292,362,359
293,449,95
294,245,186
295,480,414
296,217,166
297,378,340
298,58,435
299,281,422
300,311,70
301,447,68
302,179,118
303,469,322
304,319,351
305,407,219
306,390,110
307,386,260
308,90,404
309,411,106
310,110,75
311,257,133
312,182,273
313,120,57
314,184,79
315,85,95
316,477,498
317,497,438
318,189,290
319,360,24
320,336,359
321,216,185
322,448,131
323,113,369
324,154,171
325,377,267
326,413,493
327,20,494
328,306,253
329,303,367
330,252,369
331,270,279
332,346,26
333,150,157
334,172,195
335,20,308
336,257,68
337,147,38
338,299,314
339,407,433
340,300,455
341,103,253
342,254,412
343,59,184
344,171,91
345,171,117
346,464,144
347,44,474
348,494,249
349,30,441
350,74,189
351,182,210
352,298,421
353,271,306
354,242,150
355,175,184
356,331,416
357,355,27
358,359,209
359,22,275
360,22,185
361,486,333
362,114,401
363,345,135
364,264,201
365,251,397
366,445,358
367,322,378
368,98,470
369,430,241
370,40,294
371,102,68
372,123,279
373,53,305
374,176,379
375,245,235
376,345,269
377,291,253
378,64,227
379,78,451
380,476,363
381,493,471
382,131,372
383,464,113
384,402,392
385,76,361
386,442,23
387,479,335
388,498,198
389,61,160
390,307,409
391,500,133
392,192,91
393,136,416
394,257,416
395,181,101
396,354,56
397,95,276
398,373,90
399,49,225
400,253,128
401,373,138
402,360,88
403,243,24
404,377,340
405,371,186
406,405,462
407,236,128
408,266,166
409,457,65
410,218,82
411,335,155
412,491,20
413,341,179
414,176,211
415,334,421
416,20,136
417,117,224
418,36,136
419,330,369
420,75,481
421,91,390
422,483,333
423,77,376
424,425,422
425,161,168
426,382,474
427,123,56
428,46,308
429,41,134
430,487,314
431,476,106
432,405,171
433,167,313
434,342,70
435,53,405
436,392,349
437,458,279
438,92,241
439,490,151
440,497,372
441,464,265
442,144,350
443,65,341
444,441,481
445,22,348
446,121,308
447,49,451
448,86,175
449,262,90
450,372,319
451,206,367
452,162,450
453,59,408
454,429,348
455,266,263
456,330,68
457,276,458
458,108,469
459,363,305
460,412,404
461,445,175
462,499,237
463,43,250
464,394,156
465,491,150
466,312,274
467,151,165
468,169,254
469,300,348
470,472,192
471,347,362
472,268,166
473,213,109
474,101,124
475,474,460
476,451,460
477,295,269
478,214,125
479,199,263
480,440,259
481,442,227
482,190,436
483,190,371
484,230,249
485,196,51
486,364,204
487,249,27
488,373,375
489,70,240
490,411,392
491,251,433
492,38,442
493,276,81
494,326,97
495,115,386
496,261,303
497,125,285
498,58,332
499,322,200
500,255,386
501,443,22
502,275,257
503,320,22
504,80,384
505,119,238
506,243,390
507,474,213
508,418,267
509,189,66
510,450,66
511,60,489
512,166,465
513,487,358
514,391,138
515,442,408
516,225,465
517,182,91
518,256,303
519,432,132
520,446,132
521,196,180
522,361,234
523,122,198
524,169,328
525,188,185
526,282,173
527,265,351
528,413,485
529,417,367
530,54,482
531,290,304
532,308,286
533,158,357
534,385,446
535,185,44
536,92,155
537,199,355
538,61,385
539,261,271
540,160,305
541,373,243
542,93,311
543,399,359
544,463,485
545,80,130
546,273,175
547,356,153
548,383,293
549,497,248
550,459,207
551,354,176
552,481,309
553,313,149
554,247,481
555,353,70
556,344,498
557,414,361
558,415,403
559,420,349
560,465,308
561,249,308
562,397,301
563,137,99
564,169,59
565,62,236
566,456,126
567,73,265
568,75,497
569,233,382
570,365,322
571,196,223
572,164,170
573,393,398
574,207,248
575,152,176
576,421,484
577,282,183
578,137,464
579,235,156
580,210,152
581,52,220
582,69,141
583,77,306
584,227,251
585,37,199
586,480,342
587,73,441
588,414,351
589,233,477
590,463,117
591,245,349
592,122,260
593,265,213
594,346,434
595,357,79
596,104,400
597,42,95
598,447,308
599,235,210
600,446,325
601,60,296
602,86,390
603,283,499
604,56,268
605,355,452
606,56,437
607,424,64
608,133,151
609,362,458
610,163,199
611,206,307
612,464,88
613,186,342
614,203,222
615,257,364
616,98,247
617,492,221
618,144,406
619,310,483
620,266,172
621,431,486
622,391,301
623,74,105
624,188,106
625,481,423
626,393,125
627,109,375
628,203,337
629,193,484
630,358,291
631,457,450
632,61,290
633,461,88
634,413,354
635,266,75
636,67,192
637,329,85
638,358,359
639,446,275
640,71,276
641,35,58
642,374,490
643,214,336
644,444,226
645,134,447
646,190,282
647,410,102
648,235,371
649,205,206
650,476,142
651,49,479
652,152,291
653,121,164
654,105,204
655,60,239
656,321,281
657,424,245
658,113,153
659,393,117
660,377,390
661,429,265
662,88,188
663,63,242
664,375,472
665,324,322
666,400,236
667,302,80
668,223,105
669,351,210
670,401,137
671,383,183
672,116,117
673,388,125
674,236,383
675,139,447
676,222,374
677,301,290
678,131,297
679,184,484
680,148,405
681,271,138
682,283,328
683,105,445
684,181,358
685,412,397
686,234,319
687,385,92
688,286,42
689,351,158
690,475,115
691,144,284
692,477,73
693,213,223
694,371,214
695,456,92
696,102,127
697,178,406
698,381,157
699,333,298
700,134,316
701,63,239
702,98,449
703,403,273
704,135,181
705,103,99
706,300,220
707,26,132
708,89,236
709,372,93
710,213,451
711,273,305
712,421,367
713,484,493
714,144,299
715,380,299
716,403,183
717,21,273
718,154,198
719,166,499
720,351,68
721,186,302
722,492,164
723,130,423
724,51,323
725,333,61
726,466,89
727,73,111
728,105,434
729,75,357
730,218,298
731,51,132
732,343,498
733,399,280
734,230,165
735,366,408
736,209,314
737,469,350
738,122,307
739,446,488
740,144,222
741,431,244
742,147,364
743,79,130
744,197,187
745,412,455
746,479,140
747,131,155
748,57,218
749,147,57
750,460,229
751,314,431
752,376,367
753,497,44
754,251,455
755,241,299
756,149,290
757,473,327
758,302,488
759,51,416
760,216,149
761,479,275
